lang	layer	step	score
en_ewt	0-3	19	34.79
en_ewt	0-4	0	10.03
en_ewt	0-4	1	8.98
en_ewt	0-4	2	8.62
en_ewt	0-4	3	8.38
en_ewt	0-4	4	8.25
en_ewt	0-4	5	8.12
en_ewt	0-4	6	8.09
en_ewt	0-4	7	8.08
en_ewt	0-4	8	8.02
en_ewt	0-4	9	8.01
en_ewt	0-4	10	7.98
en_ewt	0-4	11	8.00
en_ewt	0-4	12	7.96
en_ewt	0-4	13	8.04
en_ewt	0-4	14	8.06
en_ewt	0-4	15	8.07
en_ewt	0-4	16	8.12
en_ewt	0-4	17	8.17
en_ewt	0-4	18	8.22
en_ewt	0-4	19	8.26
sv_talbanken	0	0	74.00
sv_talbanken	0	1	78.13
sv_talbanken	0	2	80.14
sv_talbanken	0	3	81.36
sv_talbanken	0	4	82.23
sv_talbanken	0	5	82.99
sv_talbanken	0	6	83.51
sv_talbanken	0	7	83.97
sv_talbanken	0	8	84.36
sv_talbanken	0	9	84.63
sv_talbanken	0	10	84.90
sv_talbanken	0	11	85.09
sv_talbanken	0	12	85.26
sv_talbanken	0	13	85.45
sv_talbanken	0	14	85.59
sv_talbanken	0	15	85.71
sv_talbanken	0	16	85.80
sv_talbanken	0	17	85.89
sv_talbanken	0	18	86.00
sv_talbanken	0	19	86.09
sv_talbanken	0-1	0	54.27
sv_talbanken	0-1	1	64.90
sv_talbanken	0-1	2	69.56
sv_talbanken	0-1	3	72.47
sv_talbanken	0-1	4	74.41
sv_talbanken	0-1	5	75.96
sv_talbanken	0-1	6	77.09
sv_talbanken	0-1	7	77.99
sv_talbanken	0-1	8	78.75
sv_talbanken	0-1	9	79.40
sv_talbanken	0-1	10	79.93
sv_talbanken	0-1	11	80.42
sv_talbanken	0-1	12	80.82
sv_talbanken	0-1	13	81.18
sv_talbanken	0-1	14	81.52
sv_talbanken	0-1	15	81.79
sv_talbanken	0-1	16	82.04
sv_talbanken	0-1	17	82.26
sv_talbanken	0-1	18	82.47
sv_talbanken	0-1	19	82.64
sv_talbanken	0-2	0	5.77
sv_talbanken	0-2	1	6.23
sv_talbanken	0-2	2	6.11
sv_talbanken	0-2	3	5.94
sv_talbanken	0-2	4	5.77
sv_talbanken	0-2	5	5.68
sv_talbanken	0-2	6	5.57
sv_talbanken	0-2	7	5.49
sv_talbanken	0-2	8	5.43
sv_talbanken	0-2	9	5.37
sv_talbanken	0-2	10	5.32
sv_talbanken	0-2	11	5.29
sv_talbanken	0-2	12	5.27
sv_talbanken	0-2	13	5.26
sv_talbanken	0-2	14	5.27
sv_talbanken	0-2	15	5.27
sv_talbanken	0-2	16	5.26
sv_talbanken	0-2	17	5.25
sv_talbanken	0-2	18	5.25
sv_talbanken	0-2	19	5.24
sv_talbanken	0-3	0	6.43
sv_talbanken	0-3	1	6.82
sv_talbanken	0-3	2	6.52
sv_talbanken	0-3	3	7.18
sv_talbanken	0-3	4	7.99
sv_talbanken	0-3	5	8.69
sv_talbanken	0-3	6	9.84
sv_talbanken	0-3	7	11.20
sv_talbanken	0-3	8	12.51
sv_talbanken	0-3	9	13.70
sv_talbanken	0-3	10	14.74
sv_talbanken	0-3	11	15.60
sv_talbanken	0-3	12	16.43
sv_talbanken	0-3	13	17.13
sv_talbanken	0-3	14	17.77
sv_talbanken	0-3	15	18.32
sv_talbanken	0-3	16	18.83
sv_talbanken	0-3	17	19.28
sv_talbanken	0-3	18	19.69
sv_talbanken	0-3	19	20.06
