lang	layer	deprel	score
sv_talbanken	0-3	nsubj	22.33
sv_talbanken	0-3	root	39.91
sv_talbanken	0-3	amod	19.26
sv_talbanken	0-3	csubj:pass	23.25
sv_talbanken	0-3	acl	11.65
sv_talbanken	0-3	acl:cleft	20.25
sv_talbanken	0-3	expl	23.04
sv_talbanken	0-3	xcomp	20.57
sv_talbanken	0-3	iobj	19.93
sv_talbanken	0-3	ccomp	19.56
sv_talbanken	0-3	obj	20.88
sv_talbanken	0-3	aux:pass	12.54
sv_talbanken	0-3	advmod	18.97
sv_talbanken	0-3	discourse	18.21
sv_talbanken	0-3	cc	17.25
sv_talbanken	0-3	case	19.01
sv_talbanken	0-3	aux	22.85
sv_talbanken	0-3	parataxis	15.85
sv_talbanken	0-3	appos	13.81
sv_talbanken	0-3	nsubj:pass	23.09
sv_talbanken	0-3	obl	19.76
sv_talbanken	0-3	compound	13.75
en_ewt	0	parataxis	69.70
en_ewt	0	cc	89.95
en_ewt	0	aux:pass	96.64
en_ewt	0	nmod:tmod	86.06
en_ewt	0	compound	87.01
en_ewt	0	obl:npmod	76.19
en_ewt	0	acl	77.08
en_ewt	0	ccomp	85.96
en_ewt	0	discourse	75.79
en_ewt	0	acl:relcl	77.92
en_ewt	0	csubj	82.26
en_ewt	0	expl	93.63
en_ewt	0	list	73.28
en_ewt	0	orphan	64.36
en_ewt	0	vocative	83.61
en_ewt	0	dislocated	0.00
en_ewt	0	nsubj	93.76
en_ewt	0	aux	96.69
en_ewt	0	case	93.20
en_ewt	0	advcl	79.34
en_ewt	0	flat	86.11
en_ewt	0	fixed	71.50
en_ewt	0	nmod:npmod	68.52
en_ewt	0	goeswith	65.49
en_ewt	0	appos	76.01
en_ewt	0	nmod:poss	94.66
en_ewt	0	csubj:pass	83.62
en_ewt	0	compound:prt	90.01
en_ewt	0	advmod	89.10
en_ewt	0	det	95.51
en_ewt	0	amod	92.84
en_ewt	0	cop	93.80
en_ewt	0	iobj	95.25
en_ewt	0	det:predet	94.62
en_ewt	0	flat:foreign	23.09
en_ewt	0	reparandum	64.42
en_ewt	0	nmod	83.51
en_ewt	0	obj	92.70
en_ewt	0	UAS	90.84
en_ewt	0	conj	79.03
en_ewt	0	nummod	89.69
en_ewt	0	obl:tmod	86.77
en_ewt	0	nsubj:pass	94.66
en_ewt	0	xcomp	90.99
en_ewt	0	obl	85.82
en_ewt	0	cc:preconj	84.38
en_ewt	0	root	94.97
en_ewt	0	mark	93.61
en_ewt	0	dep	25.07
en_ewt	0-1	flat:foreign	15.90
en_ewt	0-1	amod	86.25
en_ewt	0-1	conj	68.63
en_ewt	0-1	acl:relcl	65.05
en_ewt	0-1	nsubj	88.35
en_ewt	0-1	mark	87.31
en_ewt	0-1	nmod:tmod	77.82
en_ewt	0-1	csubj	73.17
en_ewt	0-1	acl	64.60
en_ewt	0-1	UAS	89.59
en_ewt	0-1	cc	82.93
en_ewt	0-1	dep	19.81
en_ewt	0-1	ccomp	77.22
en_ewt	0-1	parataxis	60.36
en_ewt	0-1	obl	78.18
en_ewt	0-1	case	86.96
en_ewt	0-1	nmod	74.22
en_ewt	0-1	cop	88.11
en_ewt	0-1	aux:pass	92.82
en_ewt	0-1	aux	92.91
en_ewt	0-1	goeswith	51.22
en_ewt	0-1	orphan	42.68
en_ewt	0-1	root	91.46
en_ewt	0-1	obl:tmod	79.23
en_ewt	0-1	nmod:npmod	52.30
en_ewt	0-1	xcomp	84.68
en_ewt	0-1	cc:preconj	74.71
en_ewt	0-1	appos	63.95
en_ewt	0-1	nmod:poss	89.22
en_ewt	0-1	compound	77.80
en_ewt	0-1	expl	87.84
en_ewt	0-1	csubj:pass	74.72
en_ewt	0-1	compound:prt	82.76
en_ewt	0-1	iobj	89.94
en_ewt	0-1	advmod	82.22
en_ewt	0-1	vocative	72.59
en_ewt	0-1	det	90.51
en_ewt	0-1	dislocated	0.00
en_ewt	0-1	list	61.25
en_ewt	0-1	obj	86.96
en_ewt	0-1	advcl	69.85
en_ewt	0-1	nummod	80.89
en_ewt	0-1	discourse	69.62
en_ewt	0-1	obl:npmod	62.71
en_ewt	0-1	det:predet	86.78
en_ewt	0-1	flat	73.52
en_ewt	0-1	nsubj:pass	89.67
en_ewt	0-1	fixed	44.99
en_ewt	0-1	reparandum	57.25
en_ewt	0-2	compound	18.96
en_ewt	0-2	discourse	22.34
en_ewt	0-2	det	25.07
en_ewt	0-2	root	47.06
en_ewt	0-2	csubj	20.38
en_ewt	0-2	nsubj:pass	26.53
en_ewt	0-2	obl:tmod	22.98
en_ewt	0-2	compound:prt	21.44
en_ewt	0-2	nmod:tmod	32.48
en_ewt	0-2	goeswith	19.23
en_ewt	0-2	det:predet	24.60
en_ewt	0-2	cc	20.65
en_ewt	0-2	csubj:pass	20.61
en_ewt	0-2	dislocated	7.20
en_ewt	0-2	parataxis	15.90
en_ewt	0-2	advmod	22.67
en_ewt	0-2	nummod	21.59
en_ewt	0-2	aux	28.38
en_ewt	0-2	cc:preconj	21.13
en_ewt	0-2	iobj	25.93
en_ewt	0-2	cop	25.00
en_ewt	0-2	acl:relcl	11.51
en_ewt	0-2	list	18.74
en_ewt	0-2	flat	18.53
en_ewt	0-2	nmod	18.27
en_ewt	0-2	appos	15.28
en_ewt	0-2	ccomp	20.38
en_ewt	0-2	conj	16.43
en_ewt	0-2	obl:npmod	13.53
en_ewt	0-2	nmod:npmod	8.65
en_ewt	0-2	vocative	24.94
en_ewt	0-2	xcomp	24.32
en_ewt	0-2	case	22.46
en_ewt	0-2	fixed	3.55
en_ewt	0-2	flat:foreign	5.97
en_ewt	0-2	nsubj	25.70
en_ewt	0-2	expl	23.36
en_ewt	0-2	dep	8.14
en_ewt	0-2	nmod:poss	24.28
en_ewt	0-2	UAS	32.87
en_ewt	0-2	acl	12.87
en_ewt	0-2	mark	23.26
en_ewt	0-2	aux:pass	27.99
en_ewt	0-2	advcl	17.91
en_ewt	0-2	obj	25.09
en_ewt	0-2	orphan	13.52
en_ewt	0-2	reparandum	18.40
en_ewt	0-2	obl	21.76
en_ewt	0-2	amod	23.00
en_ewt	0-3	vocative	35.63
en_ewt	0-3	case	32.91
en_ewt	0-3	obl:npmod	26.41
en_ewt	0-3	det:predet	33.03
en_ewt	0-3	nsubj	33.98
en_ewt	0-3	advcl	27.73
en_ewt	0-3	discourse	29.61
en_ewt	0-3	cc:preconj	30.95
en_ewt	0-3	acl:relcl	26.64
en_ewt	0-3	reparandum	22.98
en_ewt	0-3	obj	33.31
en_ewt	0-3	conj	27.50
en_ewt	0-3	goeswith	30.03
en_ewt	0-3	nummod	33.00
en_ewt	0-3	nmod:npmod	22.22
en_ewt	0-3	orphan	21.17
en_ewt	0-3	advmod	32.12
en_ewt	0-3	parataxis	24.90
en_ewt	0-3	expl	33.80
en_ewt	0-3	mark	32.91
en_ewt	0-3	flat:foreign	12.58
en_ewt	0-3	compound	30.90
en_ewt	0-3	csubj	29.12
en_ewt	0-3	UAS	35.25
en_ewt	0-3	det	34.04
en_ewt	0-3	flat	33.48
en_ewt	0-3	dep	13.70
en_ewt	0-3	dislocated	0.93
en_ewt	0-3	aux	34.82
en_ewt	0-3	list	27.64
en_ewt	0-3	nmod:poss	33.82
en_ewt	0-3	ccomp	30.03
en_ewt	0-3	cc	31.70
en_ewt	0-3	acl	26.11
en_ewt	0-3	fixed	23.56
en_ewt	0-3	iobj	34.34
en_ewt	0-3	obl	30.32
en_ewt	0-3	appos	27.11
en_ewt	0-3	nmod:tmod	39.31
en_ewt	0-3	nmod	29.22
en_ewt	0-3	csubj:pass	27.04
en_ewt	0-3	cop	34.11
en_ewt	0-3	xcomp	32.74
en_ewt	0-3	root	52.08
en_ewt	0-3	obl:tmod	31.18
en_ewt	0-3	amod	33.22
en_ewt	0-3	compound:prt	32.13
en_ewt	0-3	aux:pass	34.33
en_ewt	0-3	nsubj:pass	33.93
